Age_;Gender_;Continent_;self_employed;family_history;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence;treatment
18|-28;M;Europe;No;No;Never;26-100;No;Yes;No;No;No;No;Don t know;Somewhat difficult;Yes;Maybe;No;No;No;Maybe;No;No;No
18|-28;M;Africa;No;No;NA;jun/25;No;Yes;No;No;No;No;Yes;Somewhat difficult;Maybe;No;Some of them;Yes;No;Yes;No;No;No
18|-28;M;Australia;No;Yes;Often;jun/25;No;Yes;No;Yes;No;No;No;Very difficult;Yes;Maybe;No;No;No;Yes;No;Yes;Yes
18|-28;M;North America;No;No;NA;100-500;No;No;Don t know;Not sure;No;No;Don t know;Don t know;No;No;Some of them;Some of them;No;Yes;No;No;No
18|-28;M;North America;No;No;NA;26-100;Yes;Yes;Don t know;Not sure;No;Don t know;Don t know;Don t know;No;No;Some of them;Yes;No;No;Don t know;No;No
18|-28;M;North America;No;No;Often;jun/25;Yes;No;Don t know;No;No;Don t know;Don t know;Somewhat difficult;Yes;Maybe;No;No;No;Maybe;Don t know;No;Yes
18|-28;M;North America;No;No;Never;More than 1000;No;No;Yes;Yes;Yes;Yes;Yes;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No;No
18|-28;M;North America;No;No;Rarely;jun/25;No;Yes;Yes;No;Don t know;No;Don t know;Don t know;Maybe;No;No;No;No;No;Don t know;No;Yes
18|-28;M;North America;No;No;NA;More than 1000;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;Maybe;No;No;No;No;Maybe;Don t know;No;No
18|-28;M;North America;No;Yes;Sometimes;More than 1000;No;Yes;Don t know;Not sure;Don t know;Yes;Don t know;Don t know;No;No;Yes;Yes;No;No;Yes;No;Yes
18|-28;M;North America;No;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;No;Don t know;Don t know;Don t know;Yes;Maybe;Some of them;No;No;No;No;No;Yes
18|-28;F;North America;No;Yes;Sometimes;26-100;No;Yes;Yes;Yes;No;No;Yes;Don t know;No;No;Some of them;Yes;No;No;Don t know;No;Yes
18|-28;Outro;North America;No;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;Don t know;Don t know;Don t know;Don t know;Maybe;No;Some of them;Some of them;No;No;Yes;No;Yes
18|-28;F;Europe;No;Yes;Sometimes;jun/25;No;Yes;Yes;Yes;Yes;No;Don t know;Somewhat easy;No;No;Some of them;Yes;No;No;No;No;No
18|-28;F;North America;No;Yes;Sometimes;26-100;Yes;Yes;Don t know;No;No;No;Don t know;Don t know;Maybe;No;Some of them;Yes;No;No;Yes;No;Yes
18|-28;M;Europe;No;Yes;Often;26-100;Yes;Yes;No;No;No;No;Yes;Somewhat easy;No;No;Yes;Yes;No;Yes;No;No;Yes
18|-28;F;North America;No;No;Sometimes;jun/25;No;Yes;Don t know;Not sure;No;No;Don t know;Somewhat difficult;Yes;No;Some of them;No;No;Maybe;Don t know;No;Yes
18|-28;M;North America;No;No;NA;26-100;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;Maybe;No;Some of them;No;No;No;Don t know;No;No
18|-28;F;North America;Yes;Yes;Often;01/mai;Yes;Yes;Don t know;Not sure;No;No;Yes;Somewhat difficult;Yes;No;Some of them;No;No;Maybe;No;Yes;Yes
18|-28;M;Europe;No;No;Never;More than 1000;No;No;Don t know;Not sure;Don t know;Yes;Don t know;Don t know;No;No;Yes;Yes;No;Yes;Don t know;No;No
18|-28;F;North America;No;No;Sometimes;jun/25;No;Yes;No;No;No;No;No;Somewhat easy;Maybe;No;Some of them;No;No;No;Yes;No;No
18|-28;M;Europe;No;Yes;Rarely;26-100;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;Maybe;Yes;No;No;No;No;Don t know;Yes;No
18|-28;F;North America;No;Yes;NA;500-1000;No;No;Don t know;Not sure;No;No;Don t know;Don t know;Maybe;No;Some of them;Some of them;No;Maybe;Don t know;No;No
18|-28;M;Europe;No;Yes;Sometimes;26-100;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;No;Some of them;Some of them;No;Maybe;No;No;Yes
18|-28;M;Africa;No;No;NA;jun/25;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;No;Yes;Yes;No;Yes;Don t know;No;No
18|-28;M;Europe;No;No;NA;500-1000;No;Yes;Yes;Yes;Don t know;Yes;Yes;Somewhat easy;Maybe;Maybe;Some of them;Yes;Yes;Yes;Yes;No;No
18|-28;M;North America;No;Yes;Never;jun/25;Yes;Yes;Don t know;No;Yes;Don t know;Don t know;Don t know;Yes;No;Some of them;Yes;No;No;No;No;Yes
18|-28;M;North America;No;No;NA;jun/25;No;Yes;Don t know;No;No;No;Don t know;Don t know;No;No;Some of them;Yes;No;No;Don t know;No;No
18|-28;M;North America;No;Yes;Sometimes;More than 1000;No;No;Yes;Yes;Yes;Yes;Yes;Don t know;Maybe;No;Some of them;Some of them;No;No;No;Yes;Yes
18|-28;M;North America;No;Yes;Sometimes;26-100;No;Yes;Yes;Yes;Don t know;Don t know;Yes;Don t know;Maybe;No;Some of them;Some of them;No;Maybe;Don t know;No;Yes
18|-28;M;North America;No;Yes;NA;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No;No
18|-28;M;North America;No;Yes;Rarely;26-100;No;No;No;No;No;No;Don t know;Don t know;Yes;Maybe;No;No;No;Maybe;No;No;Yes
18|-28;F;North America;Yes;No;Often;01/mai;No;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;Maybe;Maybe;Some of them;Some of them;No;No;Yes;Yes;Yes
18|-28;F;North America;No;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;Yes;No;Don t know;Don t know;Yes;Yes;No;No;No;No;No;No;Yes
18|-28;F;North America;No;Yes;Sometimes;jun/25;No;Yes;Yes;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;No;Don t know;No;Yes
18|-28;M;North America;No;No;NA;100-500;Yes;Yes;Yes;No;No;No;Yes;Don t know;No;No;Yes;Yes;Maybe;Maybe;Don t know;No;No
18|-28;M;Europe;Yes;No;Sometimes;jun/25;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;Yes;Yes;Yes;No;No
18|-28;M;Europe;No;No;Never;jun/25;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Very easy;No;No;Yes;Yes;No;No;Don t know;No;No
18|-28;M;North America;No;Yes;Often;jun/25;Yes;Yes;Yes;Yes;No;Don t know;Yes;Somewhat easy;No;No;Yes;Yes;Maybe;Maybe;Don t know;No;Yes
18|-28;M;North America;No;No;Rarely;26-100;Yes;Yes;Don t know;No;No;No;Don t know;Somewhat easy;Yes;No;Some of them;Some of them;No;Yes;Don t know;Yes;No
18|-28;F;North America;No;No;Never;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Don t know;Don t know;Maybe;No;Some of them;Yes;Maybe;No;Yes;No;No
18|-28;M;North America;No;No;Often;jun/25;Yes;Yes;Don t know;No;No;No;Don t know;Somewhat easy;Maybe;No;Some of them;No;No;Maybe;Don t know;No;Yes
18|-28;M;Africa;No;Yes;Often;jun/25;No;No;Don t know;No;No;No;Yes;Don t know;No;No;Some of them;Yes;No;Maybe;No;Yes;Yes
18|-28;M;North America;No;No;Never;More than 1000;No;No;Don t know;No;No;No;Don t know;Don t know;No;No;Some of them;Yes;No;No;Don t know;No;No
18|-28;M;North America;No;Yes;Often;01/mai;No;Yes;No;Yes;No;No;Yes;Very easy;Maybe;No;Yes;Yes;No;Maybe;No;No;Yes
18|-28;M;North America;No;No;Sometimes;More than 1000;No;Yes;Yes;Yes;Yes;Don t know;Yes;Don t know;Yes;No;No;No;No;No;Yes;No;Yes
18|-28;M;North America;No;No;Rarely;jun/25;Yes;Yes;No;Yes;No;Don t know;Don t know;Somewhat easy;Maybe;No;No;Some of them;No;Maybe;Don t know;No;Yes
18|-28;M;North America;No;Yes;Sometimes;01/mai;Yes;Yes;Don t know;No;Don t know;Don t know;Don t know;Very easy;No;No;Yes;Yes;Maybe;Yes;Don t know;No;Yes
18|-28;M;Europe;No;Yes;Sometimes;26-100;Yes;Yes;No;No;No;No;Yes;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No;Yes
18|-28;F;Europe;No;No;Sometimes;26-100;Yes;Yes;No;No;No;No;Don t know;Don t know;Maybe;Maybe;Yes;Some of them;Maybe;No;No;No;Yes
18|-28;M;Europe;No;No;NA;100-500;No;Yes;Don t know;Not sure;No;Don t know;Don t know;Don t know;Maybe;No;Some of them;Yes;No;No;Don t know;No;No
18|-28;M;North America;No;Yes;Sometimes;26-100;No;Yes;Don t know;Yes;No;No;Don t know;Somewhat easy;Yes;No;Some of them;Some of them;No;Maybe;Don t know;No;Yes
18|-28;M;Europe;No;Yes;Sometimes;More than 1000;No;No;Yes;Yes;Yes;Yes;Yes;Very easy;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes
18|-28;M;North America;No;Yes;Sometimes;26-100;No;No;Yes;Yes;No;No;Yes;Don t know;Maybe;No;Some of them;No;No;No;Don t know;No;Yes
18|-28;M;North America;Yes;No;Sometimes;01/mai;No;Yes;No;Yes;Yes;No;Don t know;Don t know;No;No;Yes;Yes;No;No;Yes;No;No
18|-28;M;North America;No;No;NA;26-100;No;No;No;No;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;Maybe;Yes;Don t know;No;No
18|-28;F;Europe;No;No;Sometimes;26-100;Yes;Yes;Don t know;Not sure;Yes;Yes;Yes;Very easy;No;No;Yes;Yes;Maybe;Yes;Yes;No;Yes
18|-28;M;Europe;No;No;NA;26-100;No;Yes;No;No;No;No;Don t know;Very easy;Yes;No;No;No;No;No;No;Yes;No
18|-28;F;North America;No;Yes;Sometimes;26-100;No;No;No;Yes;No;No;No;Very difficult;Yes;No;No;No;No;Maybe;No;Yes;Yes
18|-28;M;Europe;No;No;Never;jun/25;No;Yes;Don t know;No;No;Don t know;Don t know;Very easy;No;No;Some of them;Some of them;No;No;Don t know;Yes;No
18|-28;M;North America;No;No;Often;26-100;No;No;Don t know;Not sure;No;No;Don t know;Don t know;Yes;Maybe;Some of them;Yes;No;Maybe;No;No;No
18|-28;M;North America;No;Yes;Rarely;jun/25;No;Yes;Don t know;No;No;No;Don t know;Don t know;Maybe;No;Some of them;Yes;No;No;Don t know;No;No
18|-28;M;Europe;No;No;Sometimes;More than 1000;No;Yes;Yes;Yes;Don t know;Don t know;Yes;Somewhat easy;No;No;Yes;Yes;No;No;Don t know;No;Yes
18|-28;F;India;Yes;No;Sometimes;jun/25;No;No;No;No;No;No;Don t know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;No;Don t know;No;No
18|-28;M;Europe;No;No;NA;jun/25;Yes;Yes;No;Yes;No;No;Don t know;Somewhat easy;No;No;Some of them;No;No;Maybe;Yes;No;No
18|-28;M;North America;No;No;Rarely;More than 1000;No;Yes;Yes;No;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;Maybe;No;No;No
18|-28;M;Europe;No;No;NA;100-500;No;Yes;No;No;No;No;No;Very easy;Yes;Maybe;No;No;No;Maybe;Don t know;No;No
18|-28;M;Europe;Yes;No;Often;01/mai;Yes;Yes;No;No;No;No;Don t know;Don t know;Yes;No;No;No;No;Maybe;Don t know;No;Yes
18|-28;M;Europe;Yes;No;Sometimes;01/mai;No;Yes;No;Yes;No;No;Don t know;Don t know;Maybe;No;Some of them;Some of them;No;Maybe;Yes;No;Yes
18|-28;F;North America;No;Yes;Rarely;More than 1000;No;Yes;Yes;Not sure;Don t know;Don t know;Don t know;Don t know;Maybe;No;Some of them;Some of them;No;No;Don t know;No;Yes
18|-28;F;North America;No;Yes;Rarely;More than 1000;Yes;Yes;Yes;Yes;Yes;Don t know;Don t know;Somewhat easy;Maybe;No;Some of them;No;No;No;Don t know;No;Yes
18|-28;M;North America;No;No;Rarely;100-500;No;Yes;Yes;Not sure;No;Don t know;Don t know;Don t know;No;No;Some of them;Yes;No;Maybe;Don t know;No;No
18|-28;M;North America;No;Yes;Often;jun/25;No;Yes;Yes;No;No;Don t know;Don t know;Don t know;Maybe;No;Some of them;Some of them;Maybe;Maybe;Yes;No;Yes
18|-28;M;North America;No;No;NA;26-100;No;Yes;No;No;No;No;Don t know;Don t know;No;No;Some of them;Some of them;No;No;Don t know;Yes;No
18|-28;M;North America;No;Yes;Sometimes;More than 1000;No;Yes;Yes;Not sure;No;Don t know;Don t know;Don t know;Yes;No;No;No;No;No;No;No;Yes
18|-28;M;North America;No;Yes;Often;More than 1000;No;Yes;Yes;Not sure;Don t know;Yes;Don t know;Don t know;Maybe;No;Some of them;No;No;No;Don t know;No;Yes
18|-28;M;North America;Yes;Yes;Rarely;100-500;Yes;No;No;No;No;Don t know;No;Don t know;Maybe;No;Some of them;Yes;No;Yes;No;No;Yes
18|-28;F;North America;No;Yes;Never;More than 1000;No;Yes;Yes;Yes;No;Yes;Yes;Don t know;Maybe;No;No;No;No;No;Don t know;No;Yes
18|-28;M;North America;No;No;Sometimes;jun/25;No;Yes;Don t know;No;No;No;Don t know;Don t know;Yes;Yes;Some of them;No;No;No;No;No;Yes
18|-28;M;North America;No;Yes;Often;26-100;Yes;Yes;Don t know;No;Don t know;Don t know;Don t know;Very easy;No;No;Yes;Yes;No;No;Yes;No;Yes
18|-28;M;North America;No;Yes;Often;jun/25;No;Yes;Yes;Yes;No;No;Don t know;Somewhat difficult;Maybe;No;Some of them;Yes;No;No;No;No;Yes
18|-28;M;North America;No;Yes;NA;jun/25;No;Yes;Yes;Yes;No;Yes;Yes;Very easy;No;No;Some of them;Yes;Maybe;Maybe;No;No;No
18|-28;F;North America;No;No;Sometimes;100-500;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Somewhat difficult;No;No;Some of them;Some of them;No;No;Yes;No;Yes
18|-28;M;South America;No;No;NA;26-100;Yes;Yes;Don t know;No;Don t know;No;Don t know;Don t know;No;No;Some of them;No;No;Yes;Don t know;No;No
18|-28;F;North America;No;No;NA;More than 1000;No;No;Yes;Not sure;Yes;Don t know;Don t know;Don t know;Maybe;No;Some of them;No;No;No;Don t know;No;No
18|-28;M;North America;No;No;NA;More than 1000;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Yes;No;No;Don t know;Yes;No
18|-28;M;Europe;No;Yes;Sometimes;jun/25;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;Maybe;No;No;No;Maybe;No;No;No
18|-28;F;North America;No;No;Sometimes;100-500;No;Yes;Yes;Yes;No;No;Don t know;Somewhat difficult;Yes;Maybe;Some of them;Some of them;No;No;No;Yes;Yes
18|-28;F;North America;No;Yes;Never;26-100;No;Yes;Don t know;Not sure;No;No;Don t know;Somewhat difficult;Maybe;Maybe;Some of them;No;No;Maybe;No;No;No
18|-28;M;Europe;No;No;Never;jun/25;No;Yes;No;Yes;No;No;Don t know;Don t know;Maybe;No;Yes;Yes;Maybe;Maybe;No;No;No
18|-28;M;Asia;No;No;Sometimes;jun/25;No;Yes;No;No;No;No;Yes;Very easy;Maybe;No;Some of them;Yes;No;Maybe;Yes;No;No
18|-28;M;North America;No;Yes;Never;More than 1000;No;Yes;Don t know;No;No;Don t know;Don t know;Don t know;Maybe;No;No;No;No;No;No;No;Yes
18|-28;F;North America;No;Yes;Often;100-500;No;No;Don t know;No;No;No;Don t know;Somewhat difficult;Maybe;No;No;No;No;Maybe;No;No;Yes
18|-28;F;North America;No;Yes;Sometimes;26-100;No;Yes;Yes;Yes;No;No;Yes;Somewhat difficult;No;No;Yes;Yes;No;No;No;Yes;Yes
18|-28;F;Australia;No;Yes;Sometimes;100-500;No;No;No;Yes;Yes;Yes;Don t know;Somewhat easy;No;No;Yes;Yes;No;No;Don t know;No;No
18|-28;M;Europe;Yes;No;Never;01/mai;Yes;Yes;No;No;No;No;Don t know;Somewhat difficult;Maybe;No;Some of them;Yes;Maybe;Maybe;Yes;No;No
18|-28;M;Europe;No;No;Never;26-100;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;Maybe;No;No;No;No;Don t know;No;No
18|-28;M;Eurasia;No;No;Never;26-100;No;Yes;No;Not sure;No;Don t know;Don t know;Somewhat difficult;No;No;Some of them;No;No;Maybe;Don t know;No;No
18|-28;M;North America;No;No;NA;100-500;Yes;Yes;Yes;Not sure;Don t know;Yes;Don t know;Somewhat easy;No;No;Some of them;Some of them;No;No;Yes;No;No
18|-28;F;Asia;No;Yes;Never;100-500;No;Yes;Don t know;No;Don t know;Don t know;Don t know;Don t know;Maybe;No;Some of them;No;No;No;Yes;No;No
18|-28;M;North America;No;No;Never;26-100;No;Yes;Don t know;Not sure;No;No;Don t know;Don t know;Yes;Yes;Some of them;No;No;No;No;No;No
18|-28;M;North America;No;Yes;Sometimes;More than 1000;No;Yes;Yes;No;Yes;Don t know;Don t know;Somewhat difficult;Yes;Maybe;No;No;No;Maybe;No;No;Yes
18|-28;Outro;Europe;Yes;No;Sometimes;jun/25;Yes;Yes;No;Not sure;Yes;Yes;Yes;Very easy;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No;Yes
18|-28;M;North America;No;No;Sometimes;jun/25;Yes;Yes;No;No;No;No;Don t know;Very difficult;Yes;Maybe;Some of them;Some of them;No;Maybe;Don t know;No;No
18|-28;M;Europe;Yes;No;Rarely;01/mai;Yes;Yes;No;Not sure;Don t know;Don t know;Don t know;Somewhat difficult;No;No;Yes;Yes;Maybe;Maybe;Yes;No;Yes
18|-28;M;India;Yes;No;NA;100-500;No;Yes;No;No;No;No;Yes;Very easy;No;No;Some of them;Yes;No;No;Yes;No;No
18|-28;M;North America;No;Yes;Sometimes;More than 1000;No;Yes;Don t know;Not sure;No;Yes;Yes;Very difficult;Maybe;No;Some of them;Some of them;Yes;Yes;No;Yes;Yes
18|-28;M;North America;No;No;Rarely;More than 1000;No;Yes;Yes;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Some of them;No;Maybe;No;No;Yes
18|-28;F;Europe;Yes;Yes;Sometimes;01/mai;Yes;Yes;No;No;No;No;Don t know;Very easy;Maybe;No;Some of them;Yes;No;Maybe;Yes;No;Yes
18|-28;M;Europe;No;No;NA;500-1000;No;Yes;Don t know;No;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Some of them;Maybe;Maybe;Don t know;No;No
18|-28;M;Europe;No;No;Never;jun/25;No;Yes;Yes;No;No;No;No;Somewhat easy;Maybe;No;No;No;No;No;Don t know;No;No
18|-28;F;North America;No;No;Sometimes;26-100;Yes;Yes;Don t know;No;No;Don t know;Don t know;Don t know;Maybe;No;Some of them;No;Maybe;Maybe;Don t know;Yes;Yes
18|-28;F;North America;No;No;NA;jun/25;No;Yes;Don t know;Not sure;No;No;Don t know;Somewhat easy;No;No;Yes;Yes;No;Maybe;Yes;No;No
18|-28;M;North America;No;Yes;NA;jun/25;No;Yes;Don t know;Not sure;No;No;Don t know;Don t know;No;No;Some of them;Yes;No;No;Yes;No;No
18|-28;M;Australia;No;Yes;Sometimes;26-100;Yes;Yes;No;No;No;No;Yes;Don t know;No;No;Yes;Yes;No;Maybe;Yes;No;Yes
18|-28;M;North America;No;No;Sometimes;jun/25;No;Yes;Yes;Yes;No;No;Yes;Don t know;Maybe;No;Some of them;No;No;Maybe;Don t know;No;Yes
18|-28;F;North America;No;Yes;Sometimes;100-500;No;Yes;Yes;Not sure;No;No;Yes;Don t know;Maybe;No;Some of them;No;No;Maybe;Don t know;No;Yes
18|-28;F;North America;No;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;No;No;Don t know;Don t know;No;No;Some of them;Yes;No;Maybe;No;Yes;Yes
18|-28;M;North America;No;No;Never;More than 1000;No;No;Yes;Yes;No;Don t know;Don t know;Somewhat difficult;Maybe;No;No;Yes;No;No;Don t know;No;No
18|-28;M;North America;No;Yes;Sometimes;100-500;No;Yes;Don t know;Not sure;No;No;Don t know;Don t know;Maybe;No;Some of them;No;No;Maybe;Don t know;No;No
18|-28;M;Australia;No;Yes;Rarely;26-100;No;Yes;No;No;Don t know;Don t know;Don t know;Very easy;No;No;Yes;Yes;Maybe;Yes;Yes;No;Yes
18|-28;M;Europe;Yes;Yes;Often;01/mai;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;No;Yes;Yes;Maybe;Yes;No;Yes;Yes
18|-28;M;Europe;No;No;Often;26-100;No;Yes;No;Yes;No;No;Yes;Very difficult;No;No;Yes;Yes;Yes;Yes;Don t know;No;Yes
18|-28;F;North America;No;Yes;Sometimes;26-100;Yes;Yes;Don t know;No;No;No;Don t know;Don t know;Maybe;No;No;No;No;No;Don t know;No;No
18|-28;M;Europe;No;No;Never;jun/25;No;Yes;No;No;No;No;Don t know;Don t know;Yes;Maybe;Some of them;No;No;Maybe;Don t know;No;No
18|-28;M;North America;No;Yes;Sometimes;jun/25;Yes;Yes;Don t know;No;No;Don t know;Don t know;Somewhat easy;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don t know;No;Yes
18|-28;M;South America;No;No;Often;jun/25;No;Yes;No;No;No;No;No;Very difficult;Yes;No;No;No;No;Maybe;Yes;No;No
18|-28;F;North America;No;Yes;Rarely;100-500;No;Yes;Yes;No;No;No;Don t know;Don t know;Maybe;Maybe;No;No;No;Maybe;No;No;Yes
18|-28;M;Europe;No;No;NA;26-100;No;Yes;No;No;No;No;Don t know;Somewhat easy;No;No;Some of them;Some of them;No;No;Don t know;No;Yes
18|-28;M;North America;NA;No;Never;jun/25;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Somewhat easy;No;No;Some of them;Some of them;Maybe;Yes;Yes;No;No
18|-28;M;North America;No;No;Rarely;jun/25;No;Yes;No;Yes;No;No;Don t know;Very easy;No;No;Yes;Yes;Maybe;Maybe;Don t know;No;Yes
18|-28;M;North America;No;Yes;Sometimes;01/mai;No;Yes;No;Yes;No;No;Yes;Very difficult;Maybe;No;Some of them;No;No;No;Yes;No;Yes
18|-28;M;North America;No;Yes;Rarely;26-100;No;Yes;Yes;Yes;No;No;Yes;Don t know;Maybe;No;No;No;No;No;Don t know;No;Yes
18|-28;M;Europe;No;No;Never;100-500;No;Yes;Yes;Not sure;No;Yes;Don t know;Somewhat easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No;No
18|-28;F;North America;Yes;No;Often;01/mai;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;Maybe;Maybe;Some of them;Yes;No;Maybe;Yes;No;Yes
18|-28;M;North America;No;No;Rarely;jun/25;No;No;Yes;Yes;Yes;Yes;Yes;Very easy;Maybe;No;Some of them;Yes;No;No;Don t know;No;No
18|-28;M;North America;No;No;Never;100-500;No;No;Yes;Not sure;No;No;Don t know;Very difficult;Maybe;No;Some of them;Yes;No;Maybe;No;Yes;Yes
18|-28;M;North America;No;Yes;Never;500-1000;No;Yes;Yes;No;Yes;Yes;Yes;Don t know;Yes;No;Some of them;No;No;Yes;Don t know;No;No
18|-28;M;Europe;No;No;NA;jun/25;No;Yes;No;No;No;No;Don t know;Don t know;No;No;Some of them;Some of them;No;No;Don t know;No;No
18|-28;M;North America;No;No;Never;26-100;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Yes;Yes;Maybe;Maybe;Don t know;No;No
18|-28;M;North America;No;Yes;Sometimes;More than 1000;No;Yes;Don t know;No;No;Don t know;Don t know;Don t know;No;No;No;Some of them;No;Maybe;Don t know;No;Yes
18|-28;M;North America;No;No;Rarely;26-100;Yes;Yes;No;Yes;No;No;Don t know;Somewhat difficult;Maybe;No;Some of them;Yes;No;No;Don t know;Yes;Yes
18|-28;F;Europe;Yes;Yes;NA;01/mai;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Yes;Yes;No;Maybe;Yes;No;No
18|-28;M;North America;No;Yes;NA;jun/25;Yes;Yes;Yes;Yes;No;No;Don t know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;Yes;No;No
18|-28;F;North America;No;Yes;Sometimes;26-100;No;Yes;Yes;No;No;No;Don t know;Very easy;No;No;Some of them;Some of them;No;No;Yes;No;Yes
18|-28;F;North America;Yes;Yes;Sometimes;01/mai;Yes;Yes;No;No;Don t know;Don t know;Don t know;Very difficult;No;No;Some of them;No;No;No;Don t know;No;Yes
18|-28;M;North America;No;No;Never;More than 1000;Yes;Yes;Yes;Yes;Don t know;Don t know;Yes;Somewhat easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No;No
18|-28;M;Europe;No;No;NA;100-500;No;No;Don t know;Not sure;Don t know;Don t know;No;Very easy;Maybe;Maybe;Yes;Yes;No;No;Don t know;No;No
18|-28;F;North America;No;No;Rarely;jun/25;No;Yes;Yes;No;No;No;Yes;Don t know;Maybe;Maybe;Yes;No;No;Maybe;Don t know;No;Yes
18|-28;M;North America;No;No;Sometimes;jun/25;Yes;Yes;No;Yes;No;No;No;Very difficult;Yes;Yes;Some of them;Some of them;No;Maybe;No;No;No
18|-28;M;Europe;No;No;Never;jun/25;No;Yes;No;No;No;No;Yes;Don t know;Yes;No;No;No;No;Maybe;Don t know;No;No
18|-28;M;Europe;No;Yes;Sometimes;jun/25;No;Yes;No;No;No;No;Yes;Somewhat easy;Maybe;Maybe;Yes;Yes;Yes;Yes;Yes;No;Yes
18|-28;M;North America;No;No;Sometimes;100-500;No;Yes;Yes;Not sure;Yes;Yes;Don t know;Don t know;Maybe;No;Some of them;Yes;No;Maybe;Don t know;No;No
18|-28;M;North America;No;Yes;NA;More than 1000;No;Yes;Don t know;No;Don t know;Don t know;Don t know;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No;No
18|-28;M;North America;No;No;Sometimes;More than 1000;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Very easy;Yes;No;No;No;No;Maybe;No;No;No
18|-28;M;North America;No;No;Sometimes;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Don t know;No;No;No;No;No;Yes;Yes;No;Yes
18|-28;F;North America;No;No;Rarely;More than 1000;No;Yes;Yes;Yes;No;No;Yes;Don t know;Yes;Maybe;No;No;No;No;No;No;Yes
18|-28;M;North America;No;No;Rarely;More than 1000;No;Yes;Yes;No;Yes;Yes;Yes;Don t know;No;No;Some of them;Yes;No;Maybe;Yes;No;Yes
18|-28;F;North America;No;Yes;Rarely;More than 1000;Yes;Yes;Yes;Yes;No;Don t know;Don t know;Don t know;Maybe;Maybe;No;Yes;No;No;Don t know;No;Yes
18|-28;F;North America;No;No;Sometimes;26-100;No;Yes;Don t know;Not sure;No;No;Don t know;Somewhat difficult;Maybe;Maybe;Some of them;Some of them;No;No;Don t know;No;Yes
18|-28;M;North America;No;Yes;Sometimes;100-500;No;Yes;Don t know;Not sure;No;Don t know;Don t know;Don t know;Yes;No;No;No;No;Yes;Don t know;No;Yes
18|-28;M;South America;No;No;Rarely;jun/25;No;Yes;No;Yes;No;No;Don t know;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;No;No;No
18|-28;M;North America;No;Yes;Sometimes;jun/25;Yes;Yes;Don t know;No;Yes;Don t know;Don t know;Somewhat easy;Yes;No;Some of them;Yes;No;Maybe;Yes;No;Yes
18|-28;M;Europe;No;Yes;Sometimes;jun/25;No;Yes;No;Not sure;No;No;Don t know;Somewhat difficult;Yes;Maybe;Some of them;No;No;No;No;Yes;Yes
18|-28;M;Asia;No;No;NA;26-100;No;Yes;No;No;No;No;Don t know;Somewhat difficult;Yes;No;Some of them;No;No;Maybe;No;Yes;No
